m	k	po	pa	gw1	gw2
1.0	1.0	0.5	1.0	0.1	0.1
1.0	1.0	0.515	1.0	0.1	0.1
1.0	1.0	0.53	1.0	0.1	0.1
1.0	1.0	0.545	1.0	0.1	0.1
1.0	1.0	0.561	1.0	0.1	0.1
1.0	1.0	0.576	1.0	0.1	0.1
1.0	1.0	0.591	1.0	0.1	0.1
1.0	1.0	0.606	1.0	0.1	0.1
1.0	1.0	0.621	1.0	0.1	0.1
1.0	1.0	0.636	1.0	0.1	0.1
1.0	1.0	0.652	1.0	0.1	0.1
1.0	1.0	0.667	1.0	0.1	0.1
1.0	1.0	0.682	1.0	0.1	0.1
1.0	1.0	0.697	1.0	0.1	0.1
1.0	1.0	0.712	1.0	0.1	0.1
1.0	1.0	0.727	1.0	0.1	0.1
1.0	1.0	0.742	1.0	0.1	0.1
1.0	1.0	0.758	1.0	0.1	0.1
1.0	1.0	0.773	1.0	0.1	0.1
1.0	1.0	0.788	1.0	0.1	0.1
1.0	1.0	0.803	1.0	0.1	0.1
1.0	1.0	0.818	1.0	0.1	0.1
1.0	1.0	0.833	1.0	0.1	0.1
1.0	1.0	0.848	1.0	0.1	0.1
1.0	1.0	0.864	1.0	0.1	0.1
1.0	1.0	0.879	1.0	0.1	0.1
1.0	1.0	0.894	1.0	0.1	0.1
1.0	1.0	0.909	1.0	0.1	0.1
1.0	1.0	0.924	1.0	0.1	0.1
1.0	1.0	0.939	1.0	0.1	0.1
1.0	1.0	0.955	1.0	0.1	0.1
1.0	1.0	0.97	1.0	0.1	0.1
1.0	1.0	0.985	1.0	0.1	0.1
1.0	1.0	1.0	1.0	0.1	0.1
1.0	1.0	1.015	1.0	0.1	0.1
1.0	1.0	1.03	1.0	0.1	0.1
1.0	1.0	1.045	1.0	0.1	0.1
1.0	1.0	1.061	1.0	0.1	0.1
1.0	1.0	1.076	1.0	0.1	0.1
1.0	1.0	1.091	1.0	0.1	0.1
1.0	1.0	1.106	1.0	0.1	0.1
1.0	1.0	1.121	1.0	0.1	0.1
1.0	1.0	1.136	1.0	0.1	0.1
1.0	1.0	1.152	1.0	0.1	0.1
1.0	1.0	1.167	1.0	0.1	0.1
1.0	1.0	1.182	1.0	0.1	0.1
1.0	1.0	1.197	1.0	0.1	0.1
1.0	1.0	1.212	1.0	0.1	0.1
1.0	1.0	1.227	1.0	0.1	0.1
1.0	1.0	1.242	1.0	0.1	0.1
1.0	1.0	1.258	1.0	0.1	0.1
1.0	1.0	1.273	1.0	0.1	0.1
1.0	1.0	1.288	1.0	0.1	0.1
1.0	1.0	1.303	1.0	0.1	0.1
1.0	1.0	1.318	1.0	0.1	0.1
1.0	1.0	1.333	1.0	0.1	0.1
1.0	1.0	1.348	1.0	0.1	0.1
1.0	1.0	1.364	1.0	0.1	0.1
1.0	1.0	1.379	1.0	0.1	0.1
1.0	1.0	1.394	1.0	0.1	0.1
1.0	1.0	1.409	1.0	0.1	0.1
1.0	1.0	1.424	1.0	0.1	0.1
1.0	1.0	1.439	1.0	0.1	0.1
1.0	1.0	1.455	1.0	0.1	0.1
1.0	1.0	1.47	1.0	0.1	0.1
1.0	1.0	1.485	1.0	0.1	0.1
1.0	1.0	1.5	1.0	0.1	0.1
1.0	1.0	1.515	1.0	0.1	0.1
1.0	1.0	1.53	1.0	0.1	0.1
1.0	1.0	1.545	1.0	0.1	0.1
1.0	1.0	1.561	1.0	0.1	0.1
1.0	1.0	1.576	1.0	0.1	0.1
1.0	1.0	1.591	1.0	0.1	0.1
1.0	1.0	1.606	1.0	0.1	0.1
1.0	1.0	1.621	1.0	0.1	0.1
1.0	1.0	1.636	1.0	0.1	0.1
1.0	1.0	1.652	1.0	0.1	0.1
1.0	1.0	1.667	1.0	0.1	0.1
1.0	1.0	1.682	1.0	0.1	0.1
1.0	1.0	1.697	1.0	0.1	0.1
1.0	1.0	1.712	1.0	0.1	0.1
1.0	1.0	1.727	1.0	0.1	0.1
1.0	1.0	1.742	1.0	0.1	0.1
1.0	1.0	1.758	1.0	0.1	0.1
1.0	1.0	1.773	1.0	0.1	0.1
1.0	1.0	1.788	1.0	0.1	0.1
1.0	1.0	1.803	1.0	0.1	0.1
1.0	1.0	1.818	1.0	0.1	0.1
1.0	1.0	1.833	1.0	0.1	0.1
1.0	1.0	1.848	1.0	0.1	0.1
1.0	1.0	1.864	1.0	0.1	0.1
1.0	1.0	1.879	1.0	0.1	0.1
1.0	1.0	1.894	1.0	0.1	0.1
1.0	1.0	1.909	1.0	0.1	0.1
1.0	1.0	1.924	1.0	0.1	0.1
1.0	1.0	1.939	1.0	0.1	0.1
1.0	1.0	1.955	1.0	0.1	0.1
1.0	1.0	1.97	1.0	0.1	0.1
1.0	1.0	1.985	1.0	0.1	0.1
1.0	1.0	2.0	1.0	0.1	0.1

