m	k	po	pa	gw1	gw2
1.0	1.0	1.0	1.0	0.1	0.1
1.0	1.091	1.0	1.0	0.1	0.1
1.0	1.182	1.0	1.0	0.1	0.1
1.0	1.273	1.0	1.0	0.1	0.1
1.0	1.364	1.0	1.0	0.1	0.1
1.0	1.455	1.0	1.0	0.1	0.1
1.0	1.545	1.0	1.0	0.1	0.1
1.0	1.636	1.0	1.0	0.1	0.1
1.0	1.727	1.0	1.0	0.1	0.1
1.0	1.818	1.0	1.0	0.1	0.1
1.0	1.909	1.0	1.0	0.1	0.1
1.0	2.0	1.0	1.0	0.1	0.1
1.0	2.091	1.0	1.0	0.1	0.1
1.0	2.182	1.0	1.0	0.1	0.1
1.0	2.273	1.0	1.0	0.1	0.1
1.0	2.364	1.0	1.0	0.1	0.1
1.0	2.455	1.0	1.0	0.1	0.1
1.0	2.545	1.0	1.0	0.1	0.1
1.0	2.636	1.0	1.0	0.1	0.1
1.0	2.727	1.0	1.0	0.1	0.1
1.0	2.818	1.0	1.0	0.1	0.1
1.0	2.909	1.0	1.0	0.1	0.1
1.0	3.0	1.0	1.0	0.1	0.1
1.0	3.091	1.0	1.0	0.1	0.1
1.0	3.182	1.0	1.0	0.1	0.1
1.0	3.273	1.0	1.0	0.1	0.1
1.0	3.364	1.0	1.0	0.1	0.1
1.0	3.455	1.0	1.0	0.1	0.1
1.0	3.545	1.0	1.0	0.1	0.1
1.0	3.636	1.0	1.0	0.1	0.1
1.0	3.727	1.0	1.0	0.1	0.1
1.0	3.818	1.0	1.0	0.1	0.1
1.0	3.909	1.0	1.0	0.1	0.1
1.0	4.0	1.0	1.0	0.1	0.1
1.0	4.091	1.0	1.0	0.1	0.1
1.0	4.182	1.0	1.0	0.1	0.1
1.0	4.273	1.0	1.0	0.1	0.1
1.0	4.364	1.0	1.0	0.1	0.1
1.0	4.455	1.0	1.0	0.1	0.1
1.0	4.545	1.0	1.0	0.1	0.1
1.0	4.636	1.0	1.0	0.1	0.1
1.0	4.727	1.0	1.0	0.1	0.1
1.0	4.818	1.0	1.0	0.1	0.1
1.0	4.909	1.0	1.0	0.1	0.1
1.0	5.0	1.0	1.0	0.1	0.1
1.0	5.091	1.0	1.0	0.1	0.1
1.0	5.182	1.0	1.0	0.1	0.1
1.0	5.273	1.0	1.0	0.1	0.1
1.0	5.364	1.0	1.0	0.1	0.1
1.0	5.455	1.0	1.0	0.1	0.1
1.0	5.545	1.0	1.0	0.1	0.1
1.0	5.636	1.0	1.0	0.1	0.1
1.0	5.727	1.0	1.0	0.1	0.1
1.0	5.818	1.0	1.0	0.1	0.1
1.0	5.909	1.0	1.0	0.1	0.1
1.0	6.0	1.0	1.0	0.1	0.1
1.0	6.091	1.0	1.0	0.1	0.1
1.0	6.182	1.0	1.0	0.1	0.1
1.0	6.273	1.0	1.0	0.1	0.1
1.0	6.364	1.0	1.0	0.1	0.1
1.0	6.455	1.0	1.0	0.1	0.1
1.0	6.545	1.0	1.0	0.1	0.1
1.0	6.636	1.0	1.0	0.1	0.1
1.0	6.727	1.0	1.0	0.1	0.1
1.0	6.818	1.0	1.0	0.1	0.1
1.0	6.909	1.0	1.0	0.1	0.1
1.0	7.0	1.0	1.0	0.1	0.1
1.0	7.091	1.0	1.0	0.1	0.1
1.0	7.182	1.0	1.0	0.1	0.1
1.0	7.273	1.0	1.0	0.1	0.1
1.0	7.364	1.0	1.0	0.1	0.1
1.0	7.455	1.0	1.0	0.1	0.1
1.0	7.545	1.0	1.0	0.1	0.1
1.0	7.636	1.0	1.0	0.1	0.1
1.0	7.727	1.0	1.0	0.1	0.1
1.0	7.818	1.0	1.0	0.1	0.1
1.0	7.909	1.0	1.0	0.1	0.1
1.0	8.0	1.0	1.0	0.1	0.1
1.0	8.091	1.0	1.0	0.1	0.1
1.0	8.182	1.0	1.0	0.1	0.1
1.0	8.273	1.0	1.0	0.1	0.1
1.0	8.364	1.0	1.0	0.1	0.1
1.0	8.455	1.0	1.0	0.1	0.1
1.0	8.545	1.0	1.0	0.1	0.1
1.0	8.636	1.0	1.0	0.1	0.1
1.0	8.727	1.0	1.0	0.1	0.1
1.0	8.818	1.0	1.0	0.1	0.1
1.0	8.909	1.0	1.0	0.1	0.1
1.0	9.0	1.0	1.0	0.1	0.1
1.0	9.091	1.0	1.0	0.1	0.1
1.0	9.182	1.0	1.0	0.1	0.1
1.0	9.273	1.0	1.0	0.1	0.1
1.0	9.364	1.0	1.0	0.1	0.1
1.0	9.455	1.0	1.0	0.1	0.1
1.0	9.545	1.0	1.0	0.1	0.1
1.0	9.636	1.0	1.0	0.1	0.1
1.0	9.727	1.0	1.0	0.1	0.1
1.0	9.818	1.0	1.0	0.1	0.1
1.0	9.909	1.0	1.0	0.1	0.1
1.0	10.0	1.0	1.0	0.1	0.1

