m	k	po	pa	gw1	gw2
1.0	1.0	1.0	1.0	0.1	0.01
1.0	1.0	1.0	1.0	0.1	0.012
1.0	1.0	1.0	1.0	0.1	0.015
1.0	1.0	1.0	1.0	0.1	0.017
1.0	1.0	1.0	1.0	0.1	0.02
1.0	1.0	1.0	1.0	0.1	0.022
1.0	1.0	1.0	1.0	0.1	0.025
1.0	1.0	1.0	1.0	0.1	0.027
1.0	1.0	1.0	1.0	0.1	0.029
1.0	1.0	1.0	1.0	0.1	0.032
1.0	1.0	1.0	1.0	0.1	0.034
1.0	1.0	1.0	1.0	0.1	0.037
1.0	1.0	1.0	1.0	0.1	0.039
1.0	1.0	1.0	1.0	0.1	0.042
1.0	1.0	1.0	1.0	0.1	0.044
1.0	1.0	1.0	1.0	0.1	0.046
1.0	1.0	1.0	1.0	0.1	0.049
1.0	1.0	1.0	1.0	0.1	0.051
1.0	1.0	1.0	1.0	0.1	0.054
1.0	1.0	1.0	1.0	0.1	0.056
1.0	1.0	1.0	1.0	0.1	0.058
1.0	1.0	1.0	1.0	0.1	0.061
1.0	1.0	1.0	1.0	0.1	0.063
1.0	1.0	1.0	1.0	0.1	0.066
1.0	1.0	1.0	1.0	0.1	0.068
1.0	1.0	1.0	1.0	0.1	0.071
1.0	1.0	1.0	1.0	0.1	0.073
1.0	1.0	1.0	1.0	0.1	0.075
1.0	1.0	1.0	1.0	0.1	0.078
1.0	1.0	1.0	1.0	0.1	0.08
1.0	1.0	1.0	1.0	0.1	0.083
1.0	1.0	1.0	1.0	0.1	0.085
1.0	1.0	1.0	1.0	0.1	0.088
1.0	1.0	1.0	1.0	0.1	0.09
1.0	1.0	1.0	1.0	0.1	0.092
1.0	1.0	1.0	1.0	0.1	0.095
1.0	1.0	1.0	1.0	0.1	0.097
1.0	1.0	1.0	1.0	0.1	0.1
1.0	1.0	1.0	1.0	0.1	0.102
1.0	1.0	1.0	1.0	0.1	0.105
1.0	1.0	1.0	1.0	0.1	0.107
1.0	1.0	1.0	1.0	0.1	0.109
1.0	1.0	1.0	1.0	0.1	0.112
1.0	1.0	1.0	1.0	0.1	0.114
1.0	1.0	1.0	1.0	0.1	0.117
1.0	1.0	1.0	1.0	0.1	0.119
1.0	1.0	1.0	1.0	0.1	0.122
1.0	1.0	1.0	1.0	0.1	0.124
1.0	1.0	1.0	1.0	0.1	0.126
1.0	1.0	1.0	1.0	0.1	0.129
1.0	1.0	1.0	1.0	0.1	0.131
1.0	1.0	1.0	1.0	0.1	0.134
1.0	1.0	1.0	1.0	0.1	0.136
1.0	1.0	1.0	1.0	0.1	0.138
1.0	1.0	1.0	1.0	0.1	0.141
1.0	1.0	1.0	1.0	0.1	0.143
1.0	1.0	1.0	1.0	0.1	0.146
1.0	1.0	1.0	1.0	0.1	0.148
1.0	1.0	1.0	1.0	0.1	0.151
1.0	1.0	1.0	1.0	0.1	0.153
1.0	1.0	1.0	1.0	0.1	0.155
1.0	1.0	1.0	1.0	0.1	0.158
1.0	1.0	1.0	1.0	0.1	0.16
1.0	1.0	1.0	1.0	0.1	0.163
1.0	1.0	1.0	1.0	0.1	0.165
1.0	1.0	1.0	1.0	0.1	0.168
1.0	1.0	1.0	1.0	0.1	0.17
1.0	1.0	1.0	1.0	0.1	0.172
1.0	1.0	1.0	1.0	0.1	0.175
1.0	1.0	1.0	1.0	0.1	0.177
1.0	1.0	1.0	1.0	0.1	0.18
1.0	1.0	1.0	1.0	0.1	0.182
1.0	1.0	1.0	1.0	0.1	0.185
1.0	1.0	1.0	1.0	0.1	0.187
1.0	1.0	1.0	1.0	0.1	0.189
1.0	1.0	1.0	1.0	0.1	0.192
1.0	1.0	1.0	1.0	0.1	0.194
1.0	1.0	1.0	1.0	0.1	0.197
1.0	1.0	1.0	1.0	0.1	0.199
1.0	1.0	1.0	1.0	0.1	0.202
1.0	1.0	1.0	1.0	0.1	0.204
1.0	1.0	1.0	1.0	0.1	0.206
1.0	1.0	1.0	1.0	0.1	0.209
1.0	1.0	1.0	1.0	0.1	0.211
1.0	1.0	1.0	1.0	0.1	0.214
1.0	1.0	1.0	1.0	0.1	0.216
1.0	1.0	1.0	1.0	0.1	0.218
1.0	1.0	1.0	1.0	0.1	0.221
1.0	1.0	1.0	1.0	0.1	0.223
1.0	1.0	1.0	1.0	0.1	0.226
1.0	1.0	1.0	1.0	0.1	0.228
1.0	1.0	1.0	1.0	0.1	0.231
1.0	1.0	1.0	1.0	0.1	0.233
1.0	1.0	1.0	1.0	0.1	0.235
1.0	1.0	1.0	1.0	0.1	0.238
1.0	1.0	1.0	1.0	0.1	0.24
1.0	1.0	1.0	1.0	0.1	0.243
1.0	1.0	1.0	1.0	0.1	0.245
1.0	1.0	1.0	1.0	0.1	0.248
1.0	1.0	1.0	1.0	0.1	0.25

