m	k	po	pa	gw1	gw2
1.0	1.0	1.0	1.0	0.01	0.1
1.0	1.0	1.0	1.0	0.012	0.1
1.0	1.0	1.0	1.0	0.015	0.1
1.0	1.0	1.0	1.0	0.017	0.1
1.0	1.0	1.0	1.0	0.02	0.1
1.0	1.0	1.0	1.0	0.022	0.1
1.0	1.0	1.0	1.0	0.025	0.1
1.0	1.0	1.0	1.0	0.027	0.1
1.0	1.0	1.0	1.0	0.029	0.1
1.0	1.0	1.0	1.0	0.032	0.1
1.0	1.0	1.0	1.0	0.034	0.1
1.0	1.0	1.0	1.0	0.037	0.1
1.0	1.0	1.0	1.0	0.039	0.1
1.0	1.0	1.0	1.0	0.042	0.1
1.0	1.0	1.0	1.0	0.044	0.1
1.0	1.0	1.0	1.0	0.046	0.1
1.0	1.0	1.0	1.0	0.049	0.1
1.0	1.0	1.0	1.0	0.051	0.1
1.0	1.0	1.0	1.0	0.054	0.1
1.0	1.0	1.0	1.0	0.056	0.1
1.0	1.0	1.0	1.0	0.058	0.1
1.0	1.0	1.0	1.0	0.061	0.1
1.0	1.0	1.0	1.0	0.063	0.1
1.0	1.0	1.0	1.0	0.066	0.1
1.0	1.0	1.0	1.0	0.068	0.1
1.0	1.0	1.0	1.0	0.071	0.1
1.0	1.0	1.0	1.0	0.073	0.1
1.0	1.0	1.0	1.0	0.075	0.1
1.0	1.0	1.0	1.0	0.078	0.1
1.0	1.0	1.0	1.0	0.08	0.1
1.0	1.0	1.0	1.0	0.083	0.1
1.0	1.0	1.0	1.0	0.085	0.1
1.0	1.0	1.0	1.0	0.088	0.1
1.0	1.0	1.0	1.0	0.09	0.1
1.0	1.0	1.0	1.0	0.092	0.1
1.0	1.0	1.0	1.0	0.095	0.1
1.0	1.0	1.0	1.0	0.097	0.1
1.0	1.0	1.0	1.0	0.1	0.1
1.0	1.0	1.0	1.0	0.102	0.1
1.0	1.0	1.0	1.0	0.105	0.1
1.0	1.0	1.0	1.0	0.107	0.1
1.0	1.0	1.0	1.0	0.109	0.1
1.0	1.0	1.0	1.0	0.112	0.1
1.0	1.0	1.0	1.0	0.114	0.1
1.0	1.0	1.0	1.0	0.117	0.1
1.0	1.0	1.0	1.0	0.119	0.1
1.0	1.0	1.0	1.0	0.122	0.1
1.0	1.0	1.0	1.0	0.124	0.1
1.0	1.0	1.0	1.0	0.126	0.1
1.0	1.0	1.0	1.0	0.129	0.1
1.0	1.0	1.0	1.0	0.131	0.1
1.0	1.0	1.0	1.0	0.134	0.1
1.0	1.0	1.0	1.0	0.136	0.1
1.0	1.0	1.0	1.0	0.138	0.1
1.0	1.0	1.0	1.0	0.141	0.1
1.0	1.0	1.0	1.0	0.143	0.1
1.0	1.0	1.0	1.0	0.146	0.1
1.0	1.0	1.0	1.0	0.148	0.1
1.0	1.0	1.0	1.0	0.151	0.1
1.0	1.0	1.0	1.0	0.153	0.1
1.0	1.0	1.0	1.0	0.155	0.1
1.0	1.0	1.0	1.0	0.158	0.1
1.0	1.0	1.0	1.0	0.16	0.1
1.0	1.0	1.0	1.0	0.163	0.1
1.0	1.0	1.0	1.0	0.165	0.1
1.0	1.0	1.0	1.0	0.168	0.1
1.0	1.0	1.0	1.0	0.17	0.1
1.0	1.0	1.0	1.0	0.172	0.1
1.0	1.0	1.0	1.0	0.175	0.1
1.0	1.0	1.0	1.0	0.177	0.1
1.0	1.0	1.0	1.0	0.18	0.1
1.0	1.0	1.0	1.0	0.182	0.1
1.0	1.0	1.0	1.0	0.185	0.1
1.0	1.0	1.0	1.0	0.187	0.1
1.0	1.0	1.0	1.0	0.189	0.1
1.0	1.0	1.0	1.0	0.192	0.1
1.0	1.0	1.0	1.0	0.194	0.1
1.0	1.0	1.0	1.0	0.197	0.1
1.0	1.0	1.0	1.0	0.199	0.1
1.0	1.0	1.0	1.0	0.202	0.1
1.0	1.0	1.0	1.0	0.204	0.1
1.0	1.0	1.0	1.0	0.206	0.1
1.0	1.0	1.0	1.0	0.209	0.1
1.0	1.0	1.0	1.0	0.211	0.1
1.0	1.0	1.0	1.0	0.214	0.1
1.0	1.0	1.0	1.0	0.216	0.1
1.0	1.0	1.0	1.0	0.218	0.1
1.0	1.0	1.0	1.0	0.221	0.1
1.0	1.0	1.0	1.0	0.223	0.1
1.0	1.0	1.0	1.0	0.226	0.1
1.0	1.0	1.0	1.0	0.228	0.1
1.0	1.0	1.0	1.0	0.231	0.1
1.0	1.0	1.0	1.0	0.233	0.1
1.0	1.0	1.0	1.0	0.235	0.1
1.0	1.0	1.0	1.0	0.238	0.1
1.0	1.0	1.0	1.0	0.24	0.1
1.0	1.0	1.0	1.0	0.243	0.1
1.0	1.0	1.0	1.0	0.245	0.1
1.0	1.0	1.0	1.0	0.248	0.1
1.0	1.0	1.0	1.0	0.25	0.1

