m	k	po	pa	gw1	gw2
1.0	1.0	1.0	0.5	0.1	0.1
1.0	1.0	1.0	0.515	0.1	0.1
1.0	1.0	1.0	0.53	0.1	0.1
1.0	1.0	1.0	0.545	0.1	0.1
1.0	1.0	1.0	0.561	0.1	0.1
1.0	1.0	1.0	0.576	0.1	0.1
1.0	1.0	1.0	0.591	0.1	0.1
1.0	1.0	1.0	0.606	0.1	0.1
1.0	1.0	1.0	0.621	0.1	0.1
1.0	1.0	1.0	0.636	0.1	0.1
1.0	1.0	1.0	0.652	0.1	0.1
1.0	1.0	1.0	0.667	0.1	0.1
1.0	1.0	1.0	0.682	0.1	0.1
1.0	1.0	1.0	0.697	0.1	0.1
1.0	1.0	1.0	0.712	0.1	0.1
1.0	1.0	1.0	0.727	0.1	0.1
1.0	1.0	1.0	0.742	0.1	0.1
1.0	1.0	1.0	0.758	0.1	0.1
1.0	1.0	1.0	0.773	0.1	0.1
1.0	1.0	1.0	0.788	0.1	0.1
1.0	1.0	1.0	0.803	0.1	0.1
1.0	1.0	1.0	0.818	0.1	0.1
1.0	1.0	1.0	0.833	0.1	0.1
1.0	1.0	1.0	0.848	0.1	0.1
1.0	1.0	1.0	0.864	0.1	0.1
1.0	1.0	1.0	0.879	0.1	0.1
1.0	1.0	1.0	0.894	0.1	0.1
1.0	1.0	1.0	0.909	0.1	0.1
1.0	1.0	1.0	0.924	0.1	0.1
1.0	1.0	1.0	0.939	0.1	0.1
1.0	1.0	1.0	0.955	0.1	0.1
1.0	1.0	1.0	0.97	0.1	0.1
1.0	1.0	1.0	0.985	0.1	0.1
1.0	1.0	1.0	1.0	0.1	0.1
1.0	1.0	1.0	1.015	0.1	0.1
1.0	1.0	1.0	1.03	0.1	0.1
1.0	1.0	1.0	1.045	0.1	0.1
1.0	1.0	1.0	1.061	0.1	0.1
1.0	1.0	1.0	1.076	0.1	0.1
1.0	1.0	1.0	1.091	0.1	0.1
1.0	1.0	1.0	1.106	0.1	0.1
1.0	1.0	1.0	1.121	0.1	0.1
1.0	1.0	1.0	1.136	0.1	0.1
1.0	1.0	1.0	1.152	0.1	0.1
1.0	1.0	1.0	1.167	0.1	0.1
1.0	1.0	1.0	1.182	0.1	0.1
1.0	1.0	1.0	1.197	0.1	0.1
1.0	1.0	1.0	1.212	0.1	0.1
1.0	1.0	1.0	1.227	0.1	0.1
1.0	1.0	1.0	1.242	0.1	0.1
1.0	1.0	1.0	1.258	0.1	0.1
1.0	1.0	1.0	1.273	0.1	0.1
1.0	1.0	1.0	1.288	0.1	0.1
1.0	1.0	1.0	1.303	0.1	0.1
1.0	1.0	1.0	1.318	0.1	0.1
1.0	1.0	1.0	1.333	0.1	0.1
1.0	1.0	1.0	1.348	0.1	0.1
1.0	1.0	1.0	1.364	0.1	0.1
1.0	1.0	1.0	1.379	0.1	0.1
1.0	1.0	1.0	1.394	0.1	0.1
1.0	1.0	1.0	1.409	0.1	0.1
1.0	1.0	1.0	1.424	0.1	0.1
1.0	1.0	1.0	1.439	0.1	0.1
1.0	1.0	1.0	1.455	0.1	0.1
1.0	1.0	1.0	1.47	0.1	0.1
1.0	1.0	1.0	1.485	0.1	0.1
1.0	1.0	1.0	1.5	0.1	0.1
1.0	1.0	1.0	1.515	0.1	0.1
1.0	1.0	1.0	1.53	0.1	0.1
1.0	1.0	1.0	1.545	0.1	0.1
1.0	1.0	1.0	1.561	0.1	0.1
1.0	1.0	1.0	1.576	0.1	0.1
1.0	1.0	1.0	1.591	0.1	0.1
1.0	1.0	1.0	1.606	0.1	0.1
1.0	1.0	1.0	1.621	0.1	0.1
1.0	1.0	1.0	1.636	0.1	0.1
1.0	1.0	1.0	1.652	0.1	0.1
1.0	1.0	1.0	1.667	0.1	0.1
1.0	1.0	1.0	1.682	0.1	0.1
1.0	1.0	1.0	1.697	0.1	0.1
1.0	1.0	1.0	1.712	0.1	0.1
1.0	1.0	1.0	1.727	0.1	0.1
1.0	1.0	1.0	1.742	0.1	0.1
1.0	1.0	1.0	1.758	0.1	0.1
1.0	1.0	1.0	1.773	0.1	0.1
1.0	1.0	1.0	1.788	0.1	0.1
1.0	1.0	1.0	1.803	0.1	0.1
1.0	1.0	1.0	1.818	0.1	0.1
1.0	1.0	1.0	1.833	0.1	0.1
1.0	1.0	1.0	1.848	0.1	0.1
1.0	1.0	1.0	1.864	0.1	0.1
1.0	1.0	1.0	1.879	0.1	0.1
1.0	1.0	1.0	1.894	0.1	0.1
1.0	1.0	1.0	1.909	0.1	0.1
1.0	1.0	1.0	1.924	0.1	0.1
1.0	1.0	1.0	1.939	0.1	0.1
1.0	1.0	1.0	1.955	0.1	0.1
1.0	1.0	1.0	1.97	0.1	0.1
1.0	1.0	1.0	1.985	0.1	0.1
1.0	1.0	1.0	2.0	0.1	0.1

